feature,coefficient,p_value,ci_lower,ci_upper,significant,weight_pct
transit_score,0.253342017485205,0.0013376627239742294,0.09977688288315475,0.40690715208725525,True,32.6
social_buzz_score,0.10133680699408154,0.001337662723973829,0.03991075315326339,0.1627628608348997,True,13.0
promo_multiplier,0.07724149330539354,0.5848576842271103,-0.2010871502128459,0.355570136823633,False,9.9
opponent_tier,0.0665062265506639,0.00015532176140098405,0.03248734171867871,0.10052511138264911,True,8.6
concession_value_index,0.05574473709941408,0.0013352862120043025,0.021960176498004476,0.08952929770082368,True,7.2
is_holiday_weekend,0.03559767740524591,0.021459084314609213,0.005314378184209791,0.06588097662628202,True,4.6
is_evening,0.02947468561105976,0.12162592026078638,-0.00791081887906845,0.06686019010118796,False,3.8
school_session_score,0.011545001455042858,0.31273621066922047,-0.010947881747485904,0.03403788465757162,False,1.5
month,0.008956343943432605,0.01045838485115702,0.0021229609123497887,0.01578972697451542,True,1.2
is_weekend,0.00817142272822552,0.4033660450857507,-0.01106896798951125,0.027411813445962288,False,1.1
has_promo,0.005673021848928539,0.799841794400242,-0.038383821331973884,0.04972986502983096,False,0.7
parking_avg_cost,0.0005933282918441276,0.4037474787516655,-0.0008048552519159674,0.0019915118356042226,False,0.1
has_bundle_offer,2.2469310635771254e-17,0.1634359287487849,-9.205384484843462e-18,5.414400575638597e-17,False,0.0
parking_free,0.0,,0.0,0.0,False,0.0
total_coa_vs_fc,0.0,,0.0,0.0,False,0.0
game_number,-0.0003776595504577264,0.027623491876815613,-0.0007132996940363552,-4.20194068790976e-05,True,0.0
is_bad_weather,-0.013542664376815394,0.38392879595846846,-0.04414404570545391,0.017058716951823122,False,1.7
competing_event_score,-0.10911272964485352,0.4184002199037173,-0.3744329422743781,0.15620748298467108,False,14.0
