Timestamp,What is your age?,Which sports team would you be most likely to attend - based on transportation/location,What price would you expect/be willing to pay for a Charlotte Crown game?,"Would you be more likely to attend weekend games, or weekday games?",Would you be more or less likely to go to a Charlotte Crown game knowing that there are notable players?,What promotions/events would make you more likely to attend?,Where would you be most likely to hear about Charlotte Crown games/promotional nights?,"Overall, when going to sporting events, what is the most important factor that influences your decision to go?"
4/6/2026 13:19:46,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,2,,"Themed Giveaways (hats, mini basketballs, etc.)",Family/Friend reccomendation,Price
4/6/2026 13:20:03,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,2,2,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:25:20,18-25,Charlotte FC - Play @ Bank of America Stadium,<$10,2,3,Fan contests,Online - Social Media,Game (or Team) Quality
4/6/2026 13:27:23,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,2,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/6/2026 13:29:39,18-25,Charlotte Knights - Play @ Truist Field,$10 - $20,3,3,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Game (or Team) Quality
4/6/2026 13:30:08,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,2,3,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:30:12,18-25,Charlotte Knights - Play @ Truist Field,$10 - $20,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:30:19,18-25,Charlotte Checkers - Play @ Bojangles Collesuim,$10 - $20,2,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:30:32,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,1,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:30:48,18-25,Charlotte Checkers - Play @ Bojangles Collesuim,$10 - $20,2,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Game (or Team) Quality
4/6/2026 13:30:52,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,1,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:31:01,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,1,4,"Themed Giveaways (hats, mini basketballs, etc.)",Bilboards/Flyers,Price
4/6/2026 13:31:05,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Family/Friend reccomendation,Price
4/6/2026 13:31:06,18-25,Charlotte Crown - Play @ Bojangles Collesium,$20 - $30,2,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:31:13,18-25,Charlotte FC - Play @ Bank of America Stadium,<$10,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Website,Game (or Team) Quality
4/6/2026 13:31:42,26-35,Charlotte Knights - Play @ Truist Field,$20 - $30,2,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:31:46,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,2,5,Both 1 and 2,Online - Social Media,Game (or Team) Quality
4/6/2026 13:32:01,18-25,Charlotte FC - Play @ Bank of America Stadium,<$10,1,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Game (or Team) Quality
4/6/2026 13:32:05,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,1,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:32:09,18-25,Charlotte Knights - Play @ Truist Field,$10 - $20,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:32:16,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:32:17,<18,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/6/2026 13:32:17,18-25,Charlotte Checkers - Play @ Bojangles Collesuim,$20 - $30,2,5,"Themed Giveaways (hats, mini basketballs, etc.)",Bilboards/Flyers,Game (or Team) Quality
4/6/2026 13:32:21,18-25,Charlotte Checkers - Play @ Bojangles Collesuim,$10 - $20,2,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:32:22,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,4,,Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:32:23,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,4,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:32:33,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,2,5,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,Price
4/6/2026 13:32:52,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:33:03,18-25,Charlotte Crown - Play @ Bojangles Collesium,$20 - $30,1,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/6/2026 13:34:27,36-45,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,3,,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,Price
4/6/2026 13:37:11,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,2,5,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 13:38:53,46-55,Charlotte FC - Play @ Bank of America Stadium,>$30,5,5,"Halftime/Pre-game events (singers, dancers, etc)",Bilboards/Flyers,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:39:33,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,3,4,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 13:39:57,18-25,Charlotte Checkers - Play @ Bojangles Collesuim,$10 - $20,2,3,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 13:50:07,18-25,Charlotte Knights - Play @ Truist Field,>$30,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/6/2026 14:16:11,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,3,Thirsty Thursday (or some other reduced alcohol price night),Family/Friend reccomendation,Game (or Team) Quality
4/6/2026 14:18:21,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,3,Thirsty Thursday (or some other reduced alcohol price night),Online - Website,Price
